Axial twisting angle (degree), Axial length (mm)
32.14,17.597
33.14,17.543
34.14,17.379
35.14,17.228
36.14,17.074
37.14,16.904
38.14,16.737
39.14,16.574
40.14,16.409
41.14,16.239
42.14,16.07
43.14,15.892
44.14,15.708
45.14,15.516
46.14,15.157
47.14,14.995
48.14,14.741
49.14,14.768
50.14,14.352
51.14,14.401
52.14,13.99
53.14,14.03
54.14,13.618
55.14,13.644
56.14,13.22
57.14,13.02
58.14,13.044
59.14,12.587
60.14,12.636
61.14,12.372
62.14,11.861
63.14,11.591
64.14,11.602
65.14,11.303
66.14,10.715
66.14,10.801
65.14,11.134
64.14,11.405
63.14,11.703
62.14,11.965
61.14,12.229
60.14,12.482
59.14,12.713
58.14,12.931
57.14,13.136
56.14,13.345
55.14,13.539
54.14,13.74
53.14,13.936
52.14,14.117
51.14,14.298
50.14,14.487
49.14,14.655
48.14,14.834
47.14,15.036
46.14,15.237
45.14,15.432
44.14,15.636
43.14,15.815
42.14,15.993
41.14,16.165
40.14,16.332
39.14,16.497
38.14,16.632
37.14,16.641
36.14,16.827
35.14,16.992
34.14,17.162
33.14,17.418
